Year,Month,F.L(cm),B.W(g),Mat.
2006,11,32.6,476.5,1
2006,11,30.4,411.5,1
2006,11,31.8,474.5,1
2006,11,32.2,493.9,1
2006,11,30.5,387.4,1
2006,11,31.1,415,1
2006,11,30.5,430.1,1
2006,11,30.6,399,1
2006,11,30.5,390.3,1
2006,11,31.1,438.7,1
2006,11,29.9,370.7,1
2006,11,29.7,380.7,1
2007,1,38.5,762.3,1
2007,1,39.6,866.1,1
2007,1,37.5,801.2,1
2007,1,42.8,1126.3,1
2007,1,38.3,725,1
2007,1,38.3,724.1,1
2007,1,38.3,789.2,1
2007,1,35.8,574.4,1
2007,1,38.9,818.2,1
2007,1,31.7,459.4,1
2007,1,30.3,351.7,1
2007,1,32.1,408.9,1
2007,1,30.6,346,1
2007,1,29.9,303.7,1
2007,1,30.3,328.3,1
2007,1,30.7,356.3,1
2007,1,31.3,427.6,1
2007,1,30.4,316.5,1
2007,1,28.6,266.8,1
2007,1,30.5,327.9,1
2007,1,32,399.3,1
2007,1,38.6,781.6,1
2007,1,35.4,576.1,1
2007,1,39,779.4,1
2007,1,34.2,499.6,1
2007,1,35.5,634.9,1
2007,1,37.6,736.1,1
2007,2,34.2,533.1,1
2007,2,34,461.7,1
2007,2,29.5,287.1,1
2007,2,31.2,385.6,1
2007,2,31,352.8,1
2007,2,30,307.5,1
2007,2,30.5,336.8,1
2007,2,29.6,308.8,1
2007,2,31.1,365.4,1
2007,2,29.8,289.4,1
2007,2,28.1,251.4,1
2007,2,30.3,329.1,1
2007,2,28.6,278.2,1
2007,2,30.6,347.5,1
2007,2,29.7,297.5,1
2007,2,30,296.8,1
2007,2,32.1,397.1,1
2007,2,31.6,379.8,1
2007,2,30.5,350.9,1
2007,2,30.5,349.9,1
2007,2,29.9,338.8,1
2007,2,31.5,382.3,1
2007,2,30.2,337.9,1
2007,2,30.2,326.7,1
2007,2,29.6,300.1,1
2007,2,29.1,287.7,1
2007,2,30,348.7,1
2007,2,30,289.9,1
2007,2,29.4,302.5,1
2007,2,29.8,305.9,1
2007,2,28.9,296.6,1
2007,2,27.8,244.6,1
2007,2,29.6,265.8,1
2007,2,27.4,234.6,1
2007,2,31.6,388.9,1
2007,2,29.1,302.9,1
2007,2,29.4,294.5,1
2007,2,31.5,389.9,1
2007,2,28.2,263.9,1
2007,2,28.9,266.5,1
2007,2,28.9,289.6,1
2007,2,28.4,252.3,1
2007,2,29.4,296.1,1
2007,2,30.8,348.9,1
2007,2,29.3,286.5,1
2007,2,28.6,274.7,1
2007,2,28.2,270.1,1
2007,2,29.5,303.3,1
2007,2,28.3,272.2,1
2007,2,26.3,224.6,1
2007,2,26.4,218.2,1
2007,2,29,266.1,1
2007,3,28,285,1
2007,3,27.6,284,1
2007,3,29,298.2,1
2007,3,26.3,242.7,1
2007,3,26.9,251.2,1
2007,3,25.5,215.8,1
2007,3,25.1,230.9,1
2007,3,27.8,280.9,1
2007,7,34.7,598.8,1
2007,7,35.4,617.9,1
2007,7,35.9,642.4,1
2007,7,34.8,602.2,1
2007,7,37.8,767.1,1
2007,7,34.6,646.7,1
2007,7,35.3,666.5,1
2007,7,34.5,664,1
2007,7,35.6,709.5,1
2007,7,35.1,689,1
2007,7,35.1,629.7,1
2007,7,34.4,621.3,1
2007,7,34.2,600.6,1
2007,7,36.7,700,1
2007,7,35.5,653,1
2007,7,34.3,590,1
2007,7,36.1,666.9,1
2007,7,35.6,641.5,1
2007,7,34.9,583,1
2007,7,35,641.7,1
2007,7,35.3,646,1
2007,7,35.9,681.1,1
2007,7,34.8,587,1
2007,7,35.5,619,1
2007,7,35.8,758.6,1
2007,7,35,580.7,1
2007,7,34,610.6,1
2007,7,34.6,617.5,1
2007,7,33.4,526.6,1
2007,7,33.5,507.3,1
2007,7,33,449.8,1
2007,7,32.2,501.6,1
2007,7,33.4,560.7,1
2007,7,33.4,553.8,1
2007,7,33.2,528.7,1
2007,7,32.5,461.4,1
2007,7,32.9,526.6,1
2007,7,31.1,417.2,1
2007,7,34,536,1
2007,7,32.9,465.8,1
2007,7,31.7,457.9,1
2007,7,31.8,424,1
2007,7,32.9,461.3,1
2007,7,33.6,555.4,1
2007,7,33.9,499.4,1
2007,7,33.4,474.7,1
2007,7,31.3,408.5,1
2007,7,31.7,441.8,1
2007,7,31.3,442.8,1
2007,7,34.6,564.8,1
2007,7,34.1,545.4,1
2007,7,32.1,435.9,1
2007,7,32.1,414.3,1
2007,7,31.36,424.4,1
2007,7,34,573.6,1
2007,7,31.5,467.3,1
2007,7,31.9,460.2,1
2007,7,31.1,419.8,1
2007,7,31.1,439.2,1
2007,7,30.2,359.4,1
2007,7,30.4,351.9,1
2007,7,31,394.4,1
2007,7,33.1,450,1
2007,7,30.6,406.7,1
2007,7,31.1,386.5,1
2007,7,31.5,453.1,1
2007,7,30.8,387.2,1
2007,7,30.6,402.2,1
2007,7,30.6,391.7,1
2007,7,31.7,459.7,1
2007,7,32.4,507.2,1
2007,7,31.8,453.2,1
2007,7,30.1,396.8,1
2007,7,29.9,365.8,1
2007,7,31.9,461.4,1
2007,7,31,405.2,1
2007,7,29,328.7,1
2007,7,32,407.8,1
2007,7,32.9,491.5,1
2007,7,32,448.6,1
2007,7,30.7,393.2,1
2007,9,36.7,688.3,1
2007,9,35,561.4,1
2007,9,35.8,638.8,1
2007,9,35.6,651.4,1
2007,9,37,812.8,1
2007,9,36.4,743.8,1
2007,9,37.5,800.8,1
2007,9,35.8,581.4,1
2007,9,35.1,602.6,1
2007,9,35.5,603.7,1
2007,9,36.8,647.3,1
2007,9,35.6,579.2,1
2007,9,35.2,671.7,1
2007,9,34.6,537.4,1
2007,9,37.9,774.9,1
2007,9,35.1,606.3,1
2007,9,35.9,662.6,1
2007,9,34,565.5,1
2007,9,33.8,524,1
2007,9,35.3,592,1
2007,9,34.1,526.8,1
2007,9,32.8,524.3,1
2007,9,35.4,521.3,1
2007,9,35.5,617.8,1
2007,9,32.7,462,1
2007,9,33.6,523.7,1
2007,9,34.3,505.2,1
2007,9,32.4,422.8,1
2007,9,34.1,564.2,1
2007,9,36,571.7,1
2007,9,35.5,670.2,1
2007,9,35.3,637.9,1
2007,9,35.1,583.3,1
2007,9,36.9,747.9,1
2007,9,34.4,597.7,1
2007,9,34.1,569,1
2007,10,36,668.4,1
2007,10,35.1,644.5,1
2007,10,37.1,755.1,1
2007,10,35.2,724.1,1
2007,10,35.7,662.4,1
2007,10,37.1,765,1
2007,10,36.9,734.8,1
2007,10,36.1,687.9,1
2007,10,36.2,664.9,1
2007,10,34.8,609.6,1
2007,10,35.2,657.7,1
2007,10,35.2,664.9,1
2007,10,35.6,687.5,1
2007,10,35.2,620.7,1
2007,10,33.2,517.8,1
2007,10,36.7,666.2,1
2007,10,33.7,604.6,1
2007,10,34.6,592.1,1
2007,10,31.9,442.1,1
2007,10,32.7,478.4,1
2007,10,34.5,590.7,1
2007,10,35.2,631.3,1
2007,10,33.1,522.7,1
2007,10,34.3,555.3,1
2007,10,34.6,535.7,1
2007,10,35,546.8,1
2007,10,34.9,609.5,1
2007,10,35.7,595,1
2007,10,34.4,523.3,1
2007,10,31,430.8,1
2007,10,29.4,359.3,1
2007,10,27.9,286.4,1
2007,10,29.6,369.2,1
2007,10,29.6,323.4,1
2007,10,31.2,435.8,1
2007,10,29,330.4,1
2007,11,38.5,802.8,1
2007,11,38.8,828.9,1
2007,11,36.3,760,1
2007,11,40.1,986.7,1
2007,11,36.8,723.7,1
2007,11,35.4,662.9,1
2007,11,36.1,671.3,1
2007,11,35.4,679.6,1
2007,11,35.6,700.2,1
2007,11,36.5,749.8,1
2007,11,34.1,603.3,1
2007,11,36.5,767.4,1
2007,11,31.8,555.2,1
2007,11,36.7,651.2,1
2007,11,35.9,637.2,1
2007,11,35.1,623.7,1
2007,11,35.2,621.1,1
2007,11,36.6,692.7,1
2007,11,38.7,830.1,1
2007,11,36.4,641.6,1
2007,11,34.8,668.3,1
2007,11,36,707.4,1
2007,11,36.4,696.8,1
2007,11,36.7,725.3,1
2007,11,34.2,574.6,1
2007,11,36.1,657.1,1
2007,11,32.8,545.7,1
2007,11,34.4,552.9,1
2007,11,35.1,577.8,1
2007,11,31.9,430.9,1
2007,11,34.7,578.3,1
2007,11,35.4,637.7,1
2007,11,33.6,524.4,1
2007,11,34.6,557.1,1
2007,11,35.4,637.5,1
2007,11,34.8,643.7,1
2007,11,34.8,604.8,1
2007,11,33.6,505.9,1
2007,11,34.2,563.7,1
2007,11,28.1,259.4,1
2007,11,28.5,293.5,1
2007,11,28.5,285.8,1
2007,11,28,274.3,1
2007,11,27.5,250.1,1
2007,11,27.8,249.4,1
2007,11,28.3,287.7,1
2007,11,28.7,322,1
2007,11,27.2,257.9,1
2007,11,26.4,222,1
2007,11,26.8,232,1
2007,11,28.2,276.8,1
2007,11,27.3,249.6,1
2007,11,28.6,321.1,1
2007,11,28,289.7,1
2007,11,29.6,324.9,1
2007,11,25.1,195.9,1
2007,12,34.8,599.7,1
2007,12,34.9,603.2,1
2007,12,35.6,612.3,1
2007,12,34.6,602.6,1
2007,12,34.9,612.3,1
2007,12,35.5,623,1
2007,12,35.4,568.6,1
2007,12,35.5,589.5,1
2007,12,35.1,640.2,1
2007,12,35.5,608.8,1
2007,12,37.2,668.7,1
2007,12,35.8,595.1,1
2007,12,34.5,519.3,1
2007,12,34.6,608.8,1
2007,12,36.6,761.5,1
2007,12,35.5,643.2,1
2007,12,35.8,650.7,1
2007,12,35,586.6,1
2007,12,34.6,596.1,1
2007,12,35.4,600,1
2007,12,34,497.6,1
2007,12,34.4,582.5,1
2007,12,34.8,552.9,1
2007,12,33.9,528.5,1
2007,12,34.6,540.7,1
2007,12,34.8,580.1,1
2007,12,34.4,573.4,1
2007,12,34.6,538.3,1
2007,12,33.4,537.1,1
2007,12,34.6,576.3,1
2007,12,34.8,555.5,1
2007,12,35.1,555.3,1
2007,12,34.1,580.8,1
2007,12,35.3,599.8,1
2007,12,35.8,615.1,1
2007,12,33.9,533.9,1
2007,12,34.7,572.3,1
2007,12,33.3,490,1
2007,12,33.7,512.3,1
2007,12,26.4,220.5,1
2007,12,28.3,268.5,1
2007,12,28.1,266.3,1
2007,12,25.8,220,1
2007,12,26,208.2,1
2007,12,29,281.9,1
2007,12,25.7,196.4,1
2007,12,28.8,277.3,1
2007,12,26.7,227.4,1
2007,12,28.9,313.7,1
2007,12,25.8,212.9,1
2007,12,25.4,181.3,1
2007,12,27.8,256.1,1
2007,12,26.6,223.9,1
2008,1,35,569.2,1
2008,1,35.3,539.8,1
2008,1,35.9,601.1,1
2008,1,34.7,542,1
2008,1,34.8,552.3,1
2008,1,35.2,580.1,1
2008,1,35.8,606.7,1
2008,1,34.7,561.5,1
2008,1,33.9,508,1
2008,1,34.8,537.9,1
2008,1,33.8,516.4,1
2008,1,31.3,644.7,1
2008,1,34.8,618.7,1
2008,1,36.2,625.1,1
2008,1,35.3,566.2,1
2008,1,34.8,519.4,1
2008,1,34.2,542.1,1
2008,1,35.9,579.1,1
2008,1,33.5,468.2,1
2008,1,31.6,425.6,1
2008,1,32.9,430.9,1
2008,1,32.9,447.8,1
2008,1,32,406.1,1
2008,1,32.8,447.6,1
2008,1,31.4,392.1,1
2008,1,35.5,403.1,1
2008,1,32.6,413.6,1
2008,1,32.9,458.4,1
2008,1,33,449.9,1
2008,1,31.3,404.2,1
2008,1,32.7,457.8,1
2008,1,31.6,415.2,1
2008,1,29.3,308.7,1
2008,1,30.1,343.3,1
2008,1,26.8,213.3,1
2008,1,30,339.7,1
2008,1,30.3,321.1,1
2008,1,28.2,282,1
2008,1,31,383,1
2008,1,27.3,249.7,1
2008,1,27.4,234,1
2008,1,28.8,287.4,1
2008,1,29.8,318.3,1
2008,1,30.8,364.9,1
2008,1,30.2,336.7,1
2008,1,27.2,246.6,1
2008,1,26.6,220.6,1
2008,1,29.1,308.1,1
2008,2,36.2,671.7,1
2008,2,37.5,780.6,1
2008,2,36.3,601,1
2008,2,34.4,533,1
2008,2,34.9,555.2,1
2008,2,33.3,486.4,1
2008,2,35.3,529.7,1
2008,2,34,502.7,1
2008,2,33.6,473.1,1
2008,2,33.8,477.2,1
2008,2,34.1,517.6,1
2008,2,34.2,548,1
2008,2,34,475,1
2008,2,32.6,483.7,1
2008,2,31.1,400.1,1
2008,2,31,375.9,1
2008,2,30.3,350.4,1
2008,2,31.2,364.3,1
2008,2,30.7,400.8,1
2008,2,33,438.8,1
2008,2,31.3,403.7,1
2008,2,30.5,384.7,1
2008,2,31.5,406.4,1
2008,2,30.9,344.3,1
2008,2,30.8,370.7,1
2008,2,32.2,412.4,1
2008,2,28.8,292.1,1
2008,2,28.1,254,1
2008,2,27,223.3,1
2008,2,26.2,180.8,1
2008,2,28,270.9,1
2008,2,26.4,208.8,1
2008,2,26.5,221.6,1
2008,2,26.5,212.1,1
2008,2,27.6,254.3,1
2008,2,26.2,190.5,1
2008,2,27.5,226.4,1
2008,2,28.3,272.5,1
2008,2,26.6,215,1
2008,2,26.7,245.9,1
2008,2,27.3,235.4,1
2008,2,27.5,244.2,1
2008,2,27,225.1,1
2008,2,26,188.5,1
2008,2,27.4,241.9,1
2008,2,29.4,299.1,1
2008,2,27.3,225.3,1
2008,3,30.9,367.7,1
2008,3,29.5,287.8,1
2008,3,29,319.8,1
2008,3,29.4,323.3,1
2008,3,28.5,309.3,1
2008,3,28.6,307.2,1
2008,3,29.8,349.8,1
2008,3,29.6,328.7,1
2008,3,27,242.3,1
2008,3,29.5,344,1
2008,3,30.1,358.4,1
2008,3,28.7,332.7,1
2008,3,29,296.7,1
2008,3,30,381.9,1
2008,3,29.5,345.5,1
