length(cm),weight(g)
28.5,292.5
33.4,526.2
34.2,590.5
33.6,558.3
30.2,341.4
34.6,571.4
35.2,601
33.6,499.1
31.6,454.4
30.4,393
33.6,563
30,349.2
35.8,630.8
32.4,493.5
32.4,446.3
32.6,471.6
33,486.1
34.4,566.4
33.2,525.1
32.8,494.9
34.2,562.4
32.8,495.7
34.6,573.9
32.6,524.4
32,536.7
31.8,491.8
31.6,189.4
34.2,559.1
32.2,500
30.2,429.6
31,384.5
34.6,599.3
33.8,470.7
33,512.2
32.8,500.3
32.4,503.1
33,520.2
32.3,491.7
32.6,527.4
32,493.9
32.6,487
31.4,462.9
32.2,468.2
32.8,498.2
33,490.4
33.2,516.3
31.8,452.8
34,540.5
37,816.8
32.6,460.1
31,445.4
32.4,451.6
32.2,541.2
32.4,507.8
31.4,445.9
31.8,468.2
32.4,487.4
32,450.6
31.4,458.8
32.5,511.2
32.8,500.2
35.1,665.2
34.2,548.3
33.2,542
36,657.6
35.2,660.3
33.2,572.8
35.4,693
32.4,518
34.6,604.4
34.8,612
34.2,563.4
36.8,711.8
33.9,546.4
32.3,502.1
34.6,533.2
32.4,554.8
38.4,1026.2
35,578.9
32.4,533.8
36,642.8
33.8,557.7
33.2,599.8
35.2,593.4
33.4,521.7
35.3,735.7
34,583.2
34.6,639.8
33.4,584.7
34.6,589.7
33.8,560.2
30,347.2
31.4,368.5
31,416
30.6,376.6
30.8,347.5
30.4,390.2
29.8,362.7
31.4,404.3
31.8,424.3
30.2,371.4
31,380.5
29.4,324.5
31,371.6
31,352.2
31,423.4
29.6,322.1
31,410
32.6,480.8
29.4,352.2
30.5,401.4
31.6,382.2
30.4,368.4
30.4,348.7
29.8,363.7
31.2,380
31.4,419.1
32.4,463.7
30.8,374.2
30.6,399.2
30,340.8
38.2,710.7
36.4,707.4
38.3,790.4
37.6,808.4
33.4,517.5
33,543.4
31.8,441.6
37.2,715.4
34.6,598.6
35.6,608.8
35.3,605.7
36.4,732
36.8,729.4
35,578.6
35.6,616
35.4,625.6
34.4,540.5
34,536
31,407.3
36.4,676.5
34,558.6
31.6,343.2
29.6,337.2
29.8,339.2
30.8,413.4
32,400.4
33,479.2
31.8,411.2
31.2,377.4
32.6,484.5
30,380.9
30,401.3
33.8,501.5
29.7,351.5
35.6,604.1
34.4,499.6
31.6,401.5
29.2,349.1
34.2,526.6
32.2,416.2
32.6,456.5
36.2,625.5
31,485.2
33.2,515.4
37.2,680.4
34.5,581.5
34.2,580.8
34.2,556.1
34.4,597.4
35.2,599.3
36.6,727.8
36.6,707.3
36.2,666.6
35.6,604.9
33.2,506
34.9,595.1
30.4,358.3
29.7,397.4
34.8,540
35,636.5
36.8,691.6
37.4,693.4
43.8,1226.2
38.4,872.6
35.4,711
36.8,608.4
37.2,622
38.4,759.2
39.2,797.5
35.2,624.4
37.2,671.3
37.4,687.8
36.9,695.9
31,412.9
32.2,412.9
31.3,432.1
30.6,372.5
37.8,750.7
39,875.4
35.8,646.9
35.2,584
36.9,670.9
37.3,690.9
37.2,690.2
34.2,596.2
37.2,709.9
37.5,676.4
30.9,371.1
30.6,401
30.4,373.8
34.8,611.5
35.8,740.2
34.2,566.4
34.6,616.8
33.3,564
32.5,499.2
35.6,716
34.8,571.7
35.8,682.5
33.2,510.7
32.6,491.5
33.5,547.4
37,756.5
37.1,794.1
33.7,505.1
37.4,835.2
35.4,667.2
35.7,654.5
35.2,606.5
33.6,560.2
33.2,550.3
37.8,865.3
32.6,486.7
34.2,555.3
32.4,482.3
34.2,539
34.8,614
35,621.5
34,596.1
32.8,458.7
38,788
39.2,826
36.4,718
37.5,756
37.6,783
34,596
38.6,742
38.7,887
40.2,970
39,854
39,900
37.1,664
38.9,852
39.1,837
38.4,794
38,774
39.1,873
36.2,670
37.3,788
38.6,813
38.2,811
37.9,759
38.5,893
34.3,613
38.3,808
38.5,869
38.2,813
39.1,908
37.2,672
38.1,847
28.2,284.5
28.1,253.1
28.1,260.8
29.4,296.8
28,268.9
28.9,276
29.6,304.2
29.2,310.1
30,310.4
27,238.5
29.2,289.1
27.4,230.2
28.5,254.3
28.1,277.4
32.1,402.1
31.1,364.8
31.1,391.6
31,363.5
27.1,254.2
30.3,364.6
31.1,415.2
30.8,363.4
34,456.3
28,260.1
31.7,395.9
30.5,364.6
32.5,448.8
31.5,374.2
32.6,435.3
30.3,368.2
32.4,450.4
28.7,333.2
32,431.5
30.2,365.7
40.3,922.9
30.7,388.1
31.3,438.5
32.2,436.2
31.5,407.7
30.2,381.8
32.5,458.6
31,399.8
31.5,382.8
31,434.7
31,414
30,380.3
29.8,348.5
33.2,500.3
31.8,463.5
30.9,419.2
31.3,413.4
32.2,454.9
30.3,370.5
31.2,425.4
30.7,419.4
33,488.3
32.8,507.8
30.8,398.1
31.6,446.9
30.2,420.8
37.2,731.4
38,854.6
39,756.8
38,725.1
38.7,850
39,910.2
36.2,660.7
38.2,724.1
37,732.2
38.5,775.4
36.5,646
39.4,783.5
37.5,763.4
37.6,807.2
38.2,900.2
38,749.8
38.2,850.3
36.2,715.5
38.9,857.1
38,829.5
37.2,779.1
37.7,811.2
34.5,590
37,662
34.2,651.5
38,745.3
35.5,664.1
34.5,621
39,918.2
37,790.3
38.2,819.1
36.5,691.1
37.5,705.8
35.7,660.9
40.8,1060.6
38.9,920.6
37.7,748.9
37.7,861.1
38.5,843.3
35.6,677.1
37.8,752.8
36.2,750.8
37.7,716.2
36.2,682.1
35.8,666.9
37.4,765.6
37.9,759.6
39.7,998.4
38.1,764.4
35,628.1
34.9,618
36.8,759
35.7,716.7
35.5,633.2
37.2,707.3
34.8,570.4
35.7,739.2
36.6,732
35.3,707.9
34.5,632.6
35,390.4
33.3,580.9
35.3,637.5
34.6,590.4
33.8,516.8
31.6,450.8
31.7,514.6
34.6,530.7
30.2,390.7
35.2,650.3
32.6,520.5
34.4,578.8
31.8,478.8
33.8,590
33,518.1
29.9,395.1
30.5,425.6
31.2,417.4
30.3,414.3
31,343.6
31.1,435.4
31.3,436.7
34,406.3
32.5,496.3
30.5,400.6
28.5,313
31,434.3
30.8,487.7
30.5,394.1
29.5,344.7
35.6,668.5
35.3,685.6
33.8,635.2
35.3,663
37,815.7
34.9,654.8
35.3,662.2
34.9,636.1
34.8,621.4
35.1,707
37.5,771.3
35.1,677.8
35.4,678
34.9,661.8
34.6,601.3
34.1,552.1
33.5,582.8
32.5,505
33.2,585.5
31.9,467.6
34.7,584.9
34,586.5
34.2,568.9
34.8,609.8
34.1,639.1
34,574.4
33.5,567.1
34,628.7
33.2,562.8
32.3,462.6
33.5,562.7
34.4,633.2
33.5,566.7
34.5,592
34,582.5
34.3,633.9
35.2,691.5
33,534.4
34.3,613.4
34.2,583.4
33.5,548
34.5,600.9
33.7,578
34.4,591.8
34.7,636.2
36,682.6
34.7,593.9
36.5,788.2
36.2,692.7
34.6,627.1
34.9,672.8
34.6,683.4
34.1,622.4
35.2,678.8
35.6,685.4
34.6,640.5
34.9,666.2
36.2,768.7
34.9,608.5
34.7,637.2
37.4,808.7
34.2,584.1
35.3,678.4
35.2,728
34.8,727.6
34.9,610.3
34.1,638.6
33.8,554
35,674.9
33.9,548.9
34.4,605.7
36.5,715.9
33.9,584.5
33.9,571.1
33.1,636.5
33.7,511.6
37.5,784.5
35.7,678.7
35.4,707.3
33.3,572.9
35.2,645
32.7,530.1
34.5,622
37.2,793.5
34.7,622.3
34.7,580.8
34,612.7
33.7,551.6
34.9,644.7
36.6,710.5
30.1,384.1
29.6,368.7
30.2,419.3
30.6,381
30.7,410.4
33.2,500
31.8,462.2
30,373
29.5,364.5
30.1,426.3
30.3,455.4
29.9,368.3
31.8,445.6
30.6,397
32.6,444.1
28.5,309.1
29.2,353.8
26.8,241.7
29.7,365.1
28,264.4
27.5,265.1
29.2,329.4
25.6,232.2
28.5,293.1
27.8,297.2
27.1,261.2
28.3,315
28.8,305.8
27.9,288.1
27.8,300.4
35.1,765.4
37.7,853.6
38.1,773.1
37.1,765.7
36.1,756.3
34.4,609.1
37.1,691.5
36,700
34.6,623.1
35.1,849.2
36.2,758
34.3,606.9
36.6,747.2
35.2,687.5
33.4,617.5
36.6,738.7
34.7,686.1
34.3,621.9
35.5,691.5
34.7,699.4
35.5,732.1
36,644.9
33.6,563.6
36,782.6
37.5,791.8
34.1,683.4
34.5,627.4
34,645.8
34.5,681.9
34.2,649
32.6,469.3
30.7,395.8
31.6,464.5
34.8,630.3
33.5,917
32.7,520.7
32.6,479.5
33,489.6
32.1,475
31.4,504.5
32.5,476.6
33,534.8
32.4,448.4
32.5,517.6
32.7,534.4
34.8,617.3
29.8,354.7
30.7,385.5
32.5,471.9
32,429.6
28.7,286.8
31.4,435
30,352
35.3,671.5
30.4,402
31.3,375.6
30.3,390
28.7,323
29.9,357.6
30.5,376.4
35.7,637
34.7,714.5
35,621.3
35,614.4
34.6,650.2
35,652.9
35,693.6
34,566
35,638
34,578.7
35.3,626.1
35.4,666.4
35.8,678.2
36.2,767.2
37.5,865.9
35.2,648.5
35.3,720.9
33.6,582.7
35.7,707.4
33.7,626.2
36.1,698.6
35.3,625.5
36.2,781.7
35.8,692.2
34.5,611.6
35.7,667.5
36.2,730.8
35.2,653.1
35.5,633.2
35.6,713.5
32.4,505.4
33.4,521.2
33.6,536
33.9,547
33.5,519.4
33.5,489.3
33.4,528.3
34.4,618.9
32.6,471
34.4,580.4
34.5,596.4
34.4,548.9
33.5,557.5
33.5,540.3
33.1,516.9
28.1,302.1
27,245.9
27.2,255.3
28.7,314.6
27.9,289.9
27.9,291.1
27.2,263.9
28.2,286.8
27.1,250.5
27.7,278.1
28.4,300.5
28.2,319.5
27.8,268.6
27.5,274.8
28.6,303.3
35.7,620.6
36.9,789
37,731
35.5,677.9
36.2,722.5
35.3,690.3
36.4,750.8
35.3,639.6
35.2,702.5
35.7,649.6
36.1,694.7
35.6,726.7
35,614.6
34,580
33.3,540.4
37.5,832.5
34.5,570.6
36.5,729.9
35.7,680.6
36.7,862.9
35.5,732.4
33.5,521.5
36.4,729.3
35.7,694.9
34.6,664.9
35.7,684.9
35,614.6
34.2,605.6
35.4,566.5
36.3,851.5
33.2,531
34.6,548.4
32.6,523.8
33.3,559.2
33.1,504.6
34.5,552.5
32,475
32.9,509.3
32.7,542.7
32,446.5
33.8,527
34.5,525.5
